Dates,FutRet,xomRet,bpRet,rdsaRet
1/1/2003,#N/A N/A,0.5468,0.3704,-0.757
1/2/2003,#N/A N/A,1.5169,1.599,3.6234
1/3/2003,#N/A N/A,0.0846,-0.3874,-1.4723
1/6/2003,#N/A N/A,2.4789,1.7987,2.7084
1/7/2003,#N/A N/A,-3.381,-3.3668,-0.7729
1/8/2003,#N/A N/A,-0.4267,-0.7907,-1.5808
1/9/2003,#N/A N/A,2.1143,1.4944,0.5587
1/10/2003,#N/A N/A,-1.399,-0.3436,-0.463
1/13/2003,#N/A N/A,-0.3973,-1.0835,-0.8605
1/14/2003,#N/A N/A,0.9117,-1.2945,-1.0087
1/15/2003,#N/A N/A,-1.3834,-1.3115,-0.8768
1/16/2003,#N/A N/A,0.4581,0.8178,0.1434
1/17/2003,#N/A N/A,-1.0544,-1.09,-1.7427
1/20/2003,#N/A N/A,-1.0544,-1.09,-3.1341
1/21/2003,#N/A N/A,-2.3041,-3.8954,-1.8059
1/22/2003,#N/A N/A,-1.2677,-1.1467,-2.2989
1/23/2003,#N/A N/A,-0.2389,-0.8632,-0.4706
1/24/2003,#N/A N/A,-2.155,-2.0408,-1.1032
1/27/2003,#N/A N/A,-2.6614,-1.75,-3.6122
1/28/2003,#N/A N/A,2.6398,3.1665,0.8542
1/29/2003,#N/A N/A,3.6436,4.9603,3.1421
1/30/2003,#N/A N/A,-1.8316,-2.0627,1.8278
1/31/2003,#N/A N/A,2.7686,3.9989,0.3382
2/3/2003,#N/A N/A,1.4056,-0.5127,1.0111
2/4/2003,#N/A N/A,0,0.0773,-2.4127
2/5/2003,#N/A N/A,-1.4438,-0.3347,1.6307
2/6/2003,#N/A N/A,-0.8497,-2.6866,-4.1667
2/7/2003,#N/A N/A,-0.7736,0.0265,-1.5663
2/10/2003,#N/A N/A,0.7796,0.7431,1.0974
2/11/2003,#N/A N/A,-0.7141,0.3688,1.1126
2/12/2003,#N/A N/A,-2.0078,-1.0499,-2.8717
2/13/2003,#N/A N/A,1.315,0.9284,-1.5198
2/14/2003,#N/A N/A,0.9357,1.3141,1.9641
2/17/2003,#N/A N/A,0.9357,1.3141,1.3759
2/18/2003,#N/A N/A,0.927,0.856,1.6015
